Country,Global category,Overview category,Sector,Subsector,Indicator ID,Value,Source,Indicator name
Costa Rica,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Costa Rica,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Costa Rica,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Croatia,Overview,Net-zero Target,,,nz_status,In Policy Document,Net_Zero,Net-zero Target Status
Croatia,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Croatia,Overview,Net-zero Target,,,nz_source,"<a href=""https://mingor.gov.hr/UserDocsImages/klimatske_aktivnosti/odrzivi_razvoj/NUS/lts_nus_eng.pdf"">LOW-CARBON DEVELOPMENT STRATEGY OF THE REPUBLIC OF CROATIA UNTIL 2030 WITH A VIEW TO 2050</a> (6/1/2021)",Net_Zero,Net-zero Target Source
Croatia,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Croatia,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Croatia,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Croatia,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Croatia,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Cyprus,Overview,Net-zero Target,,,nz_status,In Policy Document (2/7/2023)<br>In Political Pledge (11/2/2021),Net_Zero,Net-zero Target Status
Cyprus,Overview,Net-zero Target,,,nz_year,2050,Net_Zero,Net-zero Target Year
Cyprus,Overview,Net-zero Target,,,nz_source,"<a href=""https://unfccc.int/sites/default/files/resource/2022_lts_final_cyprus.pdf"">Cyprus’ Long-term low GHG emission development strategy </a> (2/7/2023); <a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-2"">Speech during COP26 World Leaders Summit</a> (11/2/2021)",Net_Zero,Net-zero Target Source
Cyprus,Overview,Net-zero Target,,,nz_ghg,All GHGs Covered,Net_Zero,Coverage of GHGs
Cyprus,Overview,Net-zero Target,,,nz_sec,All sectors,Net_Zero,Coverage of Domestic Sectors
Cyprus,Overview,Net-zero Target,,,nz_offset,Unclear or Undecided,Net_Zero,Includes International Offsets
Cyprus,Overview,Net-zero Target,,,nz_ship,Unclear or Undecided,Net_Zero,Includes International Shipping and Aviation
Cyprus,Overview,Net-zero Target,,,nz_separate_net_gross,Net Target Only,Net_Zero,Includes Separate Targets for Gross and Net Reductions
Denmark,Overview,Net-zero Target,,,nz_status,In Policy Document (12/30/2020); <br>In Law (6/12/2019),Net_Zero,Net-zero Target Status
